AUID_ATTNS,MonitoringLocationTypeName,AU_Type,TADA.CharacteristicName,TADA.ResultMeasure.MeasureUnitCode,TADA.ResultSampleFractionText_new,n_Samples,n_SampDates,n_WaterYears,Waterbody Type,Fraction,Use,Type,Minimum Assessment Period,Minimum number of data points,Min_Assess_Period_Yrs,Min_Num_Pts,Min_Period_Pass,Min_Data_Pass,Data_Sufficient,Hardness_Dependency
AK_B_1010204_003,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Secondary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_004,BEACH Program Site-Ocean,Beach,ENTEROCOCCUS,MPN/100ML,,72,62,4,Marine,,Primary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_004,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,80,62,4,Marine,,Aquatic Life,,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_004,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,80,62,4,Marine,,Secondary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_004,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,80,62,4,Marine,,Water Supply,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_004,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Aquatic Life,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_004,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Primary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_004,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Secondary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_004,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Water Supply,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_004,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Water Supply,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_004,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Primary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_004,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Secondary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,ENTEROCOCCUS,MPN/100ML,,80,68,5,Marine,,Primary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,87,68,5,Marine,,Aquatic Life,,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,87,68,5,Marine,,Secondary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,87,68,5,Marine,,Water Supply,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Aquatic Life,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Primary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Secondary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Water Supply,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Water Supply,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Primary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_005,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Secondary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,ENTEROCOCCUS,MPN/100ML,,75,62,4,Marine,,Primary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,79,62,4,Marine,,Aquatic Life,,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,79,62,4,Marine,,Secondary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,79,62,4,Marine,,Water Supply,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Aquatic Life,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Primary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Secondary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Water Supply,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Water Supply,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Primary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_006,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Secondary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,ENTEROCOCCUS,MPN/100ML,,77,61,5,Marine,,Primary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,78,60,5,Marine,,Aquatic Life,,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,78,60,5,Marine,,Secondary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,78,60,5,Marine,,Water Supply,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,,1,1,1,Marine,,Aquatic Life,,2 water years,20,2,20,No,No,No,Hardness dependency not applicable.
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,,1,1,1,Marine,,Secondary Contact Recreation,,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,,1,1,1,Marine,,Water Supply,,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Aquatic Life,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Primary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Secondary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Water Supply,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Water Supply,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Primary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Secondary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,ENTEROCOCCUS,MPN/100ML,,67,51,4,Marine,,Primary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,67,50,4,Marine,,Aquatic Life,,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,67,50,4,Marine,,Secondary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,67,50,4,Marine,,Water Supply,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,,1,1,1,Marine,,Aquatic Life,,2 water years,20,2,20,No,No,No,Hardness dependency not applicable.
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,,1,1,1,Marine,,Secondary Contact Recreation,,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,,1,1,1,Marine,,Water Supply,,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Aquatic Life,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Primary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Secondary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Water Supply,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Water Supply,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Primary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Secondary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,ENTEROCOCCUS,MPN/100ML,,81,68,5,Marine,,Primary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,85,67,5,Marine,,Aquatic Life,,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,85,67,5,Marine,,Secondary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,85,67,5,Marine,,Water Supply,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,,1,1,1,Marine,,Aquatic Life,,2 water years,20,2,20,No,No,No,Hardness dependency not applicable.
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,,1,1,1,Marine,,Secondary Contact Recreation,,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,,,1,1,1,Marine,,Water Supply,,2 water years,10,2,10,No,No,No,Hardness dependency not applicable.
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Aquatic Life,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Primary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Secondary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Water Supply,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Water Supply,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Primary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Secondary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,ENTEROCOCCUS,MPN/100ML,,76,61,5,Marine,,Primary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,78,61,5,Marine,,Aquatic Life,,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,78,61,5,Marine,,Secondary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,78,61,5,Marine,,Water Supply,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Aquatic Life,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Primary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Secondary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,PH,,,25,25,2,Marine,,Water Supply,,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Water Supply,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Primary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_001,BEACH Program Site-Ocean,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Secondary Contact Recreation,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,ENTEROCOCCUS,MPN/100ML,,59,51,4,Marine,,Primary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,69,51,4,Marine,,Aquatic Life,,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,69,51,4,Marine,,Secondary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010208_002,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,,69,51,4,Marine,,Water Supply,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
